"ID","shLuci_vitro_v2_1","shLuci_vitro_v2_2","shLuci_vitro_v2_3","shLuci_vivo_v2_1_NN","shLuci_vivo_v2_2_NN","shLuci_vivo_v2_3_NN","shRad21_vitro_v2_1","shRad21_vitro_v2_2","shRad21_vitro_v2_3","shRad21_vivo_v2_1_NN","shRad21_vivo_v2_2_NN","shRad21_vivo_v2_3_NN"
"ENSMUSG00000000743",1100,1412,1388,3108,2250,2597,1841,1630,2214,2555,2418,2541
"ENSMUSG00000000751",2396,3184,3561,5774,5089,5821,4449,3667,5091,4823,5390,4717
"ENSMUSG00000000753",702,948,753,1349,1365,1721,570,612,771,876,712,849
"ENSMUSG00000000759",1420,1879,2132,2114,1934,2191,2744,2155,3024,2107,2324,2190
"ENSMUSG00000000766",1,1,2,1,13,8,0,2,0,1,4,2
"ENSMUSG00000000776",331,441,376,755,754,807,636,405,549,700,753,848
"ENSMUSG00000000782",227,441,486,145,164,213,63,82,113,21,51,37
"ENSMUSG00000000787",8168,12867,11728,5251,4853,4445,13794,11320,16579,4604,4668,4201
"ENSMUSG00000000791",461,640,786,725,734,752,716,687,1015,592,543,559
"ENSMUSG00000000792",0,2,1,0,2,2,2,0,2,0,0,1
"ENSMUSG00000000794",4,2,1,0,1,3,2,2,5,3,1,0
"ENSMUSG00000000804",1012,1749,1860,471,384,478,2125,1735,2803,407,504,461
"ENSMUSG00000000805",0,0,0,1,1,0,0,0,0,0,1,0
"ENSMUSG00000000811",376,570,485,1122,951,1000,759,638,729,1436,1082,1229
"ENSMUSG00000000817",1,1,1,14,9,5,1,0,0,2,8,7
"ENSMUSG00000000823",1445,1876,2454,2084,1805,1855,2980,2357,3379,2447,2298,2235
"ENSMUSG00000000826",3088,4430,4937,4498,3559,4469,5598,4740,6778,4407,4940,4220
"ENSMUSG00000000827",1880,2410,2324,3366,3172,4017,2928,2566,3788,3560,3769,3786
"ENSMUSG00000000838",1788,2565,3151,1688,1799,1735,3544,2667,4252,1357,1571,1417
"ENSMUSG00000000861",2601,3743,4421,3677,2854,3269,3273,2801,3854,2943,2694,2802
"ENSMUSG00000000869",26,55,68,61,48,55,67,63,115,75,43,55
"ENSMUSG00000000876",546,817,796,1330,1108,1140,960,859,1242,1325,1227,1280
"ENSMUSG00000000881",784,1234,1354,911,712,793,1163,1099,1547,847,924,824
"ENSMUSG00000000884",84,126,122,473,422,475,173,130,161,475,467,469
"ENSMUSG00000000889",0,0,0,2,3,3,0,0,0,0,1,0
"ENSMUSG00000000901",56,71,74,375,243,317,129,90,148,256,270,246
"ENSMUSG00000000902",1433,1940,2402,3870,3405,3557,2621,2160,2667,3833,3569,3429
"ENSMUSG00000000903",0,1,0,125,183,191,2,0,3,72,27,29
