"ID","N1_24h_IFN","N1_24h_mock","N1_24h_RVFV","N1_6h_IFN","N1_6h_mock","N1_6h_RVFV","N2_24h_IFN","N2_24h_mock","N2_24h_RVFV","N2_6h_IFN","N2_6h_mock","N2_6h_RVFV","N3_24h_IFN","N3_24h_mock","N3_24h_RVFV","N3_6h_IFN","N3_6h_mock","N3_6h_RVFV"
"ENSMLUG00000000181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000182",3,0,3,1,2,2,2,0,1,6,0,2,1,1,2,2,0,1
"ENSMLUG00000000183",4,2,1,1,0,1,6,5,3,4,3,5,4,1,3,2,0,2
"ENSMLUG00000000184",0,1,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,1
"ENSMLUG00000000185",2,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,1
"ENSMLUG00000000186",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMLUG00000000187",3,0,5,1,1,1,2,2,5,1,0,4,3,2,9,5,2,2
"ENSMLUG00000000188",0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1
"ENSMLUG00000000189",0,0,1,0,3,1,0,0,3,3,0,0,3,0,1,1,0,3
"ENSMLUG00000000190",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2
"ENSMLUG00000000192",1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1
"ENSMLUG00000000193",2,0,4,3,3,3,1,1,6,2,3,4,0,0,1,3,1,0
"ENSMLUG00000000194",1,4,0,1,1,0,6,0,1,1,1,1,0,0,1,2,1,2
"ENSMLUG00000000196",0,3,1,1,1,0,1,2,1,1,0,1,1,0,4,2,0,0
"ENSMLUG00000000197",18,10,13,18,8,5,18,5,24,28,5,4,31,11,20,12,4,7
"ENSMLUG00000000198",1,0,1,1,2,1,1,1,0,0,0,0,1,0,2,2,0,1
"ENSMLUG00000000200",1,0,6,0,1,0,1,1,0,0,0,1,0,0,5,1,0,1
"ENSMLUG00000000202",4,1,1,3,0,2,3,1,3,6,3,2,4,2,1,0,3,1
"ENSMLUG00000000203",1,1,9,1,1,0,4,3,7,3,2,1,2,3,4,2,5,2
"ENSMLUG00000000205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
